date,time,color,white,black,opponent,result,opening,eco,termination,time_control,time_class,user_rating,opp_rating,rating_diff,moves,plies,captures,checks,castles,promotions,pawn_moves,piece_moves,link
2025.05.06,16:15:18,black,chessermamii,NafsinFerdous,chessermamii,win,Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,C45,NafsinFerdous won by checkmate,10:00,Unknown,574,390,184,46,92,25,8,2,2,23,69,https://www.chess.com/game/live/138171173544
2025.05.08,23:33:43,white,NafsinFerdous,JOEL-1307,JOEL-1307,win,Kings Pawn Opening St George Defense 2.d4 b5 3.Nf3 Bb7,B00,NafsinFerdous won - game abandoned,5:00,Unknown,755,577,178,17,33,5,1,1,0,16,17,https://www.chess.com/game/live/138254421484
2025.05.09,04:06:53,white,NafsinFerdous,shamsdiaa,shamsdiaa,win,Caro Kann Defense 2.Nf3,B10,NafsinFerdous won by checkmate,5:00,Unknown,880,771,109,45,89,22,13,1,0,19,70,https://www.chess.com/game/live/138259025176
2025.05.09,04:16:32,black,Rajiranji,NafsinFerdous,Rajiranji,loss,Sicilian Defense 2.Nf3 d6,B50,Rajiranji won by resignation,5:00,Unknown,788,870,-82,37,73,22,4,2,0,18,55,https://www.chess.com/game/live/138259186504
2025.05.13,17:54:45,black,prsh10,NafsinFerdous,prsh10,win,Closed Sicilian Defense 2...d6,B23,NafsinFerdous won - game abandoned,5:00,Unknown,854,757,97,30,60,16,0,2,0,19,41,https://www.chess.com/game/live/138423095446
2025.05.14,10:24:54,white,NafsinFerdous,rafaelhaurissa,rafaelhaurissa,win,Scotch Game,C45,NafsinFerdous won on time,5:00,Unknown,920,886,34,31,61,17,4,2,0,16,45,https://www.chess.com/game/live/138445223022
2025.05.15,16:59:41,black,yassinjbeli,NafsinFerdous,yassinjbeli,win,Sicilian Defense 2.Nf3 d6 3.Nc3,B50,NafsinFerdous won - game abandoned,10:00,Unknown,695,576,119,21,42,12,2,2,0,13,29,https://www.chess.com/game/live/138493989040
2025.05.15,17:06:00,white,NafsinFerdous,dipen321,dipen321,win,Ruy Lopez Opening,C60,NafsinFerdous won by resignation,10:00,Unknown,777,663,114,59,118,25,14,2,0,29,89,https://www.chess.com/game/live/138494203224
2025.05.15,17:27:21,black,udhejejejzk,NafsinFerdous,udhejejejzk,win,Queens Pawn Opening Zukertort Variation 2...e6,D02,NafsinFerdous won by resignation,10:00,Unknown,845,758,87,23,46,14,1,2,0,12,34,https://www.chess.com/game/live/138494930818
2025.05.15,17:42:36,black,Mac6003,NafsinFerdous,Mac6003,win,English Opening Symmetrical Variation 2.g3,A30,NafsinFerdous won on time,2:00 + 1s,Unknown,1069,858,211,35,70,18,7,2,1,21,49,https://www.chess.com/game/live/138495449882
2025.05.15,19:14:17,white,NafsinFerdous,abdallah1hmid,abdallah1hmid,win,Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,C45,NafsinFerdous won - game abandoned,5:00,Unknown,968,893,75,13,25,6,0,2,0,5,20,https://www.chess.com/game/live/138498484804
2025.05.15,19:18:21,black,doc_sos,NafsinFerdous,doc_sos,win,Alapin Sicilian Defense 2...d6,B22,NafsinFerdous won on time,5:00,Unknown,1019,1009,10,30,60,9,3,2,0,14,46,https://www.chess.com/game/live/138498614694
2025.05.15,19:29:58,white,NafsinFerdous,bateau1234,bateau1234,win,French Defense Knight Variation 2...d5 3.exd5,C00,NafsinFerdous won by checkmate,10:00,Unknown,897,778,119,31,61,15,8,2,0,15,46,https://www.chess.com/game/live/138498984036
2025.05.15,19:40:23,black,bateau1234,NafsinFerdous,bateau1234,win,Sicilian Defense 2.d3 d6,B20,NafsinFerdous won by resignation,10:00,Unknown,931,747,184,24,48,9,6,1,0,12,36,https://www.chess.com/game/live/138499308446
2025.05.15,19:45:58,white,NafsinFerdous,bateau1234,bateau1234,loss,Scotch Game 3...d6,C45,bateau1234 won by checkmate,10:00,Unknown,866,806,60,16,32,12,1,1,0,11,21,https://www.chess.com/game/live/138499480732
2025.05.15,19:48:37,black,bateau1234,NafsinFerdous,bateau1234,win,Sicilian Defense 2.d3 d6,B20,NafsinFerdous won by checkmate,10:00,Unknown,900,775,125,23,46,11,7,1,0,14,32,https://www.chess.com/game/live/138499562200
2025.05.15,19:52:11,white,NafsinFerdous,bateau1234,bateau1234,win,Kings Pawn Opening Kings Knight Variation,C40,NafsinFerdous won by resignation,10:00,Unknown,925,752,173,11,22,4,2,1,0,10,12,https://www.chess.com/game/live/138499670894
2025.05.16,06:11:01,white,NafsinFerdous,aish_jannat,aish_jannat,win,Kings Pawn Opening Kings Knight Variation,C40,NafsinFerdous won by resignation,10:00,Unknown,959,898,61,32,63,17,10,0,0,18,45,https://www.chess.com/game/live/138511991836
2025.05.16,06:22:54,black,Yovsha,NafsinFerdous,Yovsha,win,English Opening Symmetrical Variation,A30,NafsinFerdous won by resignation,10:00,Unknown,985,856,129,1,2,0,0,0,0,2,0,https://www.chess.com/game/live/138512237192
2025.05.16,06:32:19,white,NafsinFerdous,SurajitGangai,SurajitGangai,loss,Ruy Lopez Opening Birds Defense 4.Nxd4 exd4 5.d3,C61,SurajitGangai won by checkmate,10:00,Unknown,954,981,-27,26,52,15,3,2,0,14,38,https://www.chess.com/game/live/138512434910
2025.05.16,06:36:07,black,Adrian_3427,NafsinFerdous,Adrian_3427,win,Closed Sicilian Defense Traditional Line 3.Nf3 d6 4.Bb5,B23,NafsinFerdous won by resignation,10:00,Unknown,982,945,37,47,94,23,9,2,0,20,74,https://www.chess.com/game/live/138512514336
2025.05.16,08:30:08,black,Niniola1o,NafsinFerdous,Niniola1o,win,Sicilian Defense Smith Morra Gambit 2...cxd4 3.Qxd4 Nc6,B21,NafsinFerdous won by resignation,10:00,Unknown,1007,965,42,8,16,7,0,0,0,5,11,https://www.chess.com/game/live/138515012450
2025.05.16,08:31:52,white,NafsinFerdous,Niniola1o,Niniola1o,loss,Philidor Defense Exchange Variation...5.Nc3 Be7 6.Bd3 O O 7.O O,C41,Niniola1o won by resignation,10:00,Unknown,980,974,6,44,87,26,4,2,0,18,69,https://www.chess.com/game/live/138515053720
2025.05.16,08:38:43,black,ChessBot212223,NafsinFerdous,ChessBot212223,win,Alapin Sicilian Defense 2...d6 3.d4 cxd4 4.cxd4,B22,NafsinFerdous won by resignation,10:00,Unknown,1004,990,14,10,20,3,0,1,0,8,12,https://www.chess.com/game/live/138515213010
2025.05.16,08:44:02,black,takeandtakeandiftakestake,NafsinFerdous,takeandtakeandiftakestake,draw,Sicilian Defense Open Dragon Variation 6.Bc4,B70,Game drawn by stalemate,10:00,Unknown,1004,999,5,56,112,27,5,2,2,33,79,https://www.chess.com/game/live/138515337922
2025.05.16,08:55:51,white,NafsinFerdous,Darkseid_77,Darkseid_77,win,Scotch Game 3...exd4 4.Nxd4 Qf6 5.Nb5,C45,NafsinFerdous won by checkmate,10:00,Unknown,1026,1035,-9,20,39,12,4,2,0,11,28,https://www.chess.com/game/live/138515619208
2025.05.16,16:24:55,white,NafsinFerdous,jeff_mason54,jeff_mason54,win,Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,C45,NafsinFerdous won by resignation,10:00,Unknown,1046,1040,6,16,32,12,1,2,0,8,24,https://www.chess.com/game/live/138529161416
2025.05.16,16:27:32,black,jeff_mason54,NafsinFerdous,jeff_mason54,win,Alapin Sicilian Defense...3.d4 cxd4 4.cxd4 Nf6 5.Nc3,B22,NafsinFerdous won by resignation,10:00,Unknown,1064,1032,32,45,90,23,7,2,0,23,67,https://www.chess.com/game/live/138529249702
2025.05.16,16:38:45,white,NafsinFerdous,ViswesA,ViswesA,win,Ruy Lopez Opening Berlin Rio Gambit Accepted 5.Re1,C67,NafsinFerdous won by resignation,5:00,Unknown,1065,1068,-3,10,19,6,1,1,0,5,14,https://www.chess.com/game/live/138529631612
2025.05.16,16:40:27,black,ViswesA,NafsinFerdous,ViswesA,win,Sicilian Defense Open Lowenthal Variation 5.Nf3 Nf6,B32,NafsinFerdous won by resignation,5:00,Unknown,1101,1060,41,32,64,23,2,2,1,18,46,https://www.chess.com/game/live/138529690104
2025.05.16,16:46:32,white,NafsinFerdous,ViswesA,ViswesA,loss,Philidor Defense 3.d4,C41,ViswesA won by checkmate,5:00,Unknown,1065,1069,-4,38,76,17,7,2,0,20,56,https://www.chess.com/game/live/138529896658
2025.05.16,16:54:44,black,Kabello32,NafsinFerdous,Kabello32,draw,Sicilian Defense Bowdler Attack 2...e6,B20,Game drawn by timeout vs insufficient material,2:00 + 1s,Unknown,1085,1116,-31,59,117,27,8,2,1,26,91,https://www.chess.com/game/live/138530172000
